shapeid,partid,x,y,WDPAID,WDPA_PID,PA_DEF,NAME,ORIG_NAME,DESIG,DESIG_ENG,DESIG_TYPE,IUCN_CAT,INT_CRIT,MARINE,REP_M_AREA,GIS_M_AREA,REP_AREA,GIS_AREA,NO_TAKE,NO_TK_AREA,STATUS,STATUS_YR,GOV_TYPE,OWN_TYPE,MANG_AUTH,MANG_PLAN,VERIF,METADATAID,SUB_LOC,PARENT_ISO,ISO3,vertex_index,vertex_part,vertex_part_ring,vertex_part_index,distance,angle
"506",,23.9148134760001,52.8154877330001,854.000000000000000,"854","1",Białowieski Park Narodowy,Białowieski Park Narodowy,Park Narodowy,National Park,National,II,Not Applicable,"0",0.000000000000000,0.000000000000000,105.293099999999995,104.974307287000002,Not Applicable,0.000000000000000,Designated,"1932",Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,"1839",Not Reported,POL,POL,"677","3","0","506",0.63945425212278,114.29878744513044
"507",,23.91488818,52.815502128,854.000000000000000,"854","1",Białowieski Park Narodowy,Białowieski Park Narodowy,Park Narodowy,National Park,National,II,Not Applicable,"0",0.000000000000000,0.000000000000000,105.293099999999995,104.974307287000002,Not Applicable,0.000000000000000,Designated,"1932",Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,"1839",Not Reported,POL,POL,"678","3","0","507",0.63953033039588,79.09300023150399
"508",,23.916336969,52.8157813080001,854.000000000000000,"854","1",Białowieski Park Narodowy,Białowieski Park Narodowy,Park Narodowy,National Park,National,II,Not Applicable,"0",0.000000000000000,0.000000000000000,105.293099999999995,104.974307287000002,Not Applicable,0.000000000000000,Designated,"1932",Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,"1839",Not Reported,POL,POL,"679","3","0","508",0.64100577305451,78.98684398554917
"509",,23.9189019770001,52.8162854340001,854.000000000000000,"854","1",Białowieski Park Narodowy,Białowieski Park Narodowy,Park Narodowy,National Park,National,II,Not Applicable,"0",0.000000000000000,0.000000000000000,105.293099999999995,104.974307287000002,Not Applicable,0.000000000000000,Designated,"1932",Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,"1839",Not Reported,POL,POL,"680","3","0","509",0.64361985206329,79.26117116277155
"510",,23.921340322,52.8167311280001,854.000000000000000,"854","1",Białowieski Park Narodowy,Białowieski Park Narodowy,Park Narodowy,National Park,National,II,Not Applicable,"0",0.000000000000000,0.000000000000000,105.293099999999995,104.974307287000002,Not Applicable,0.000000000000000,Designated,"1932",Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,"1839",Not Reported,POL,POL,"681","3","0","510",0.64609859559188,79.64915793972517
"511",,23.9237263530001,52.817166602,854.000000000000000,"854","1",Białowieski Park Narodowy,Białowieski Park Narodowy,Park Narodowy,National Park,National,II,Not Applicable,"0",0.000000000000000,0.000000000000000,105.293099999999995,104.974307287000002,Not Applicable,0.000000000000000,Designated,"1932",Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,"1839",Not Reported,POL,POL,"682","3","0","511",0.64852404019807,79.19042649264078
"512",,23.9238858850001,52.8171984100001,854.000000000000000,"854","1",Białowieski Park Narodowy,Białowieski Park Narodowy,Park Narodowy,National Park,National,II,Not Applicable,"0",0.000000000000000,0.000000000000000,105.293099999999995,104.974307287000002,Not Applicable,0.000000000000000,Designated,"1932",Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,"1839",Not Reported,POL,POL,"683","3","0","512",0.64868671228507,12.57746629127397
"513",,23.923845542,52.8172281870001,854.000000000000000,"854","1",Białowieski Park Narodowy,Białowieski Park Narodowy,Park Narodowy,National Park,National,II,Not Applicable,"0",0.000000000000000,0.000000000000000,105.293099999999995,104.974307287000002,Not Applicable,0.000000000000000,Designated,"1932",Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,"1839",Not Reported,POL,POL,"684","3","0","513",0.64873685435703,306.42253388655217
"514",,23.923638688,52.817380772,854.000000000000000,"854","1",Białowieski Park Narodowy,Białowieski Park Narodowy,Park Narodowy,National Park,National,II,Not Applicable,"0",0.000000000000000,0.000000000000000,105.293099999999995,104.974307287000002,Not Applicable,0.000000000000000,Designated,"1932",Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,"1839",Not Reported,POL,POL,"685","3","0","514",0.64899389668726,306.41308925434782
"515",,23.9231457100001,52.8177443860001,854.000000000000000,"854","1",Białowieski Park Narodowy,Białowieski Park Narodowy,Park Narodowy,National Park,National,II,Not Applicable,"0",0.000000000000000,0.000000000000000,105.293099999999995,104.974307287000002,Not Applicable,0.000000000000000,Designated,"1932",Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,"1839",Not Reported,POL,POL,"686","3","0","515",0.64960646705012,12.78551648498924
